Marker Name,Marker Type,Marker Event Id,Marker Event Id 2,TimeStamp,TimeStamp2,value1,value2
Frame Marker,2,244,-1,11.8999,-1,-1,-1
Frame Marker,2,244,-1,11.9332,-1,-1,-1
Frame Marker,2,244,-1,11.9666,-1,-1,-1
Frame Marker,2,244,-1,11.9999,-1,-1,-1
Frame Marker,2,244,-1,12.0332,-1,-1,-1
Frame Marker,2,244,-1,12.0665,-1,-1,-1
Frame Marker,2,244,-1,12.0999,-1,-1,-1
Frame Marker,2,244,-1,12.1332,-1,-1,-1
Frame Marker,2,244,-1,12.1666,-1,-1,-1
Frame Marker,2,244,-1,12.1999,-1,-1,-1
Frame Marker,2,244,-1,12.2332,-1,-1,-1
Frame Marker,2,244,-1,12.2666,-1,-1,-1
Frame Marker,2,244,-1,12.2999,-1,-1,-1
Frame Marker,2,244,-1,12.3332,-1,-1,-1
Frame Marker,2,244,-1,12.3666,-1,-1,-1
Frame Marker,2,244,-1,12.3999,-1,-1,-1
Frame Marker,2,244,-1,12.4332,-1,-1,-1
Frame Marker,2,244,-1,12.4666,-1,-1,-1
Frame Marker,2,244,-1,12.4999,-1,-1,-1
Frame Marker,2,244,-1,12.5332,-1,-1,-1
Frame Marker,2,244,-1,12.5665,-1,-1,-1
Frame Marker,2,244,-1,12.5999,-1,-1,-1
Frame Marker,2,244,-1,12.6332,-1,-1,-1
Frame Marker,2,244,-1,12.6666,-1,-1,-1
Frame Marker,2,244,-1,12.6999,-1,-1,-1
Frame Marker,2,244,-1,12.7332,-1,-1,-1
Frame Marker,2,244,-1,12.7666,-1,-1,-1
Frame Marker,2,244,-1,12.7999,-1,-1,-1
Frame Marker,2,244,-1,12.8332,-1,-1,-1
Frame Marker,2,244,-1,12.8666,-1,-1,-1
Frame Marker,2,244,-1,12.8999,-1,-1,-1
Frame Marker,2,244,-1,12.9332,-1,-1,-1
Frame Marker,2,244,-1,12.9665,-1,-1,-1
Frame Marker,2,244,-1,12.9999,-1,-1,-1
Frame Marker,2,244,-1,13.0332,-1,-1,-1
Frame Marker,2,244,-1,13.0665,-1,-1,-1
Frame Marker,2,244,-1,13.0999,-1,-1,-1
Frame Marker,2,244,-1,13.1332,-1,-1,-1
Frame Marker,2,244,-1,13.1665,-1,-1,-1
Frame Marker,2,244,-1,13.1999,-1,-1,-1
Frame Marker,2,244,-1,13.2332,-1,-1,-1
Frame Marker,2,244,-1,13.2665,-1,-1,-1
Frame Marker,2,244,-1,13.2999,-1,-1,-1
Frame Marker,2,244,-1,13.3332,-1,-1,-1
Frame Marker,2,244,-1,13.3665,-1,-1,-1
Frame Marker,2,244,-1,13.3999,-1,-1,-1
Frame Marker,2,244,-1,13.4332,-1,-1,-1
Frame Marker,2,244,-1,13.4665,-1,-1,-1
Frame Marker,2,244,-1,13.4999,-1,-1,-1
Frame Marker,2,244,-1,13.5332,-1,-1,-1
Frame Marker,2,244,-1,13.5665,-1,-1,-1
Frame Marker,2,244,-1,13.5999,-1,-1,-1
Frame Marker,2,244,-1,13.6332,-1,-1,-1
Frame Marker,2,244,-1,13.6665,-1,-1,-1
Frame Marker,2,244,-1,13.6999,-1,-1,-1
Frame Marker,2,244,-1,13.7332,-1,-1,-1
Frame Marker,2,244,-1,13.7665,-1,-1,-1
Frame Marker,2,244,-1,13.7998,-1,-1,-1
Frame Marker,2,244,-1,13.8332,-1,-1,-1
Frame Marker,2,244,-1,13.8665,-1,-1,-1
Frame Marker,2,244,-1,13.8999,-1,-1,-1
Frame Marker,2,244,-1,13.9332,-1,-1,-1
Frame Marker,2,244,-1,13.9665,-1,-1,-1
Frame Marker,2,244,-1,13.9999,-1,-1,-1
Frame Marker,2,244,-1,14.0332,-1,-1,-1
Frame Marker,2,244,-1,14.0665,-1,-1,-1
Frame Marker,2,244,-1,14.0999,-1,-1,-1
Frame Marker,2,244,-1,14.1332,-1,-1,-1
Frame Marker,2,244,-1,14.1665,-1,-1,-1
Frame Marker,2,244,-1,14.1999,-1,-1,-1
Frame Marker,2,244,-1,14.2332,-1,-1,-1
Frame Marker,2,244,-1,14.2665,-1,-1,-1
Frame Marker,2,244,-1,14.2998,-1,-1,-1
Frame Marker,2,244,-1,14.3332,-1,-1,-1
Frame Marker,2,244,-1,14.3665,-1,-1,-1
Frame Marker,2,244,-1,14.3999,-1,-1,-1
Frame Marker,2,244,-1,14.4332,-1,-1,-1
Frame Marker,2,244,-1,14.4665,-1,-1,-1
Frame Marker,2,244,-1,14.4999,-1,-1,-1
Frame Marker,2,244,-1,14.5332,-1,-1,-1
Frame Marker,2,244,-1,14.5665,-1,-1,-1
Frame Marker,2,244,-1,14.5999,-1,-1,-1
Frame Marker,2,244,-1,14.6332,-1,-1,-1
Frame Marker,2,244,-1,14.6665,-1,-1,-1
Frame Marker,2,244,-1,14.6999,-1,-1,-1
Frame Marker,2,244,-1,14.7332,-1,-1,-1
Frame Marker,2,244,-1,14.7665,-1,-1,-1
Frame Marker,2,244,-1,14.7998,-1,-1,-1
Frame Marker,2,244,-1,14.8332,-1,-1,-1
Frame Marker,2,244,-1,14.8665,-1,-1,-1
Frame Marker,2,244,-1,14.8999,-1,-1,-1
Frame Marker,2,244,-1,14.9332,-1,-1,-1
Frame Marker,2,244,-1,14.9665,-1,-1,-1
Frame Marker,2,244,-1,14.9999,-1,-1,-1
Frame Marker,2,244,-1,15.0332,-1,-1,-1
Frame Marker,2,244,-1,15.0665,-1,-1,-1
Frame Marker,2,244,-1,15.0999,-1,-1,-1
Frame Marker,2,244,-1,15.1332,-1,-1,-1
Frame Marker,2,244,-1,15.1665,-1,-1,-1
Frame Marker,2,244,-1,15.1999,-1,-1,-1
Frame Marker,2,244,-1,15.2332,-1,-1,-1
Frame Marker,2,244,-1,15.2665,-1,-1,-1
Frame Marker,2,244,-1,15.2998,-1,-1,-1
Frame Marker,2,244,-1,15.3332,-1,-1,-1
Frame Marker,2,244,-1,15.3665,-1,-1,-1
Frame Marker,2,244,-1,15.3999,-1,-1,-1
Frame Marker,2,244,-1,15.4332,-1,-1,-1
Frame Marker,2,244,-1,15.4665,-1,-1,-1
Frame Marker,2,244,-1,15.4999,-1,-1,-1
Frame Marker,2,244,-1,15.5332,-1,-1,-1
Frame Marker,2,244,-1,15.5665,-1,-1,-1
Frame Marker,2,244,-1,15.5999,-1,-1,-1
Frame Marker,2,244,-1,15.6332,-1,-1,-1
Frame Marker,2,244,-1,15.6665,-1,-1,-1
Frame Marker,2,244,-1,15.6999,-1,-1,-1
Frame Marker,2,244,-1,15.7332,-1,-1,-1
Frame Marker,2,244,-1,15.7665,-1,-1,-1
Frame Marker,2,244,-1,15.7998,-1,-1,-1
Frame Marker,2,244,-1,15.8332,-1,-1,-1
Frame Marker,2,244,-1,15.8665,-1,-1,-1
Frame Marker,2,244,-1,15.8999,-1,-1,-1
Frame Marker,2,244,-1,15.9332,-1,-1,-1
Frame Marker,2,244,-1,15.9665,-1,-1,-1
Frame Marker,2,244,-1,15.9999,-1,-1,-1
Frame Marker,2,244,-1,16.0332,-1,-1,-1
Frame Marker,2,244,-1,16.0665,-1,-1,-1
Frame Marker,2,244,-1,16.0999,-1,-1,-1
Frame Marker,2,244,-1,16.1332,-1,-1,-1
Frame Marker,2,244,-1,16.1665,-1,-1,-1
Frame Marker,2,244,-1,16.1999,-1,-1,-1
Frame Marker,2,244,-1,16.2332,-1,-1,-1
Frame Marker,2,244,-1,16.2665,-1,-1,-1
Frame Marker,2,244,-1,16.2998,-1,-1,-1
Frame Marker,2,244,-1,16.3332,-1,-1,-1
Frame Marker,2,244,-1,16.3665,-1,-1,-1
Frame Marker,2,244,-1,16.3998,-1,-1,-1
Frame Marker,2,244,-1,16.4332,-1,-1,-1
